ass
File name, DP method, branching strategy, problem #, runtime, memory allocated, node count, ave. time per node
knapPI_1_50_1000.csv, Williamson Shmoy, Truncation, 1, 0.002741, 1416, 2, 0.001370, -nan
knapPI_1_50_1000.csv, Williamson Shmoy, Truncation, 2, 0.001646, 1416, 2, 0.000823, -nan
knapPI_1_50_1000.csv, Williamson Shmoy, Truncation, 3, 0.001004, 1416, 2, 0.000502, -nan
knapPI_1_50_10000.csv, Williamson Shmoy, Truncation, 1, 0.000589, 1416, 2, 0.000295, -nan
knapPI_1_50_10000.csv, Williamson Shmoy, Truncation, 2, 0.000507, 1416, 2, 0.000253, -nan
knapPI_1_50_10000.csv, Williamson Shmoy, Truncation, 3, 0.000590, 1416, 2, 0.000295, -nan
knapPI_1_50_100000.csv, Williamson Shmoy, Truncation, 1, 0.003814, 47672, 100, 0.000038, -nan
knapPI_1_50_100000.csv, Williamson Shmoy, Truncation, 2, 0.003187, 47672, 100, 0.000032, -nan
knapPI_1_50_100000.csv, Williamson Shmoy, Truncation, 3, 0.005519, 47672, 100, 0.000055, -nan
knapPI_1_100_1000.csv, Williamson Shmoy, Truncation, 1, 0.002379, 2616, 2, 0.001190, -nan
knapPI_1_100_1000.csv, Williamson Shmoy, Truncation, 2, 0.003063, 2616, 2, 0.001532, -nan
knapPI_1_100_1000.csv, Williamson Shmoy, Truncation, 3, 0.003543, 2616, 2, 0.001772, -nan
knapPI_1_100_10000.csv, Williamson Shmoy, Truncation, 1, 0.001820, 2616, 2, 0.000910, -nan
knapPI_1_100_10000.csv, Williamson Shmoy, Truncation, 2, 0.001977, 2616, 2, 0.000989, -nan
knapPI_1_100_10000.csv, Williamson Shmoy, Truncation, 3, 0.004098, 2616, 2, 0.002049, -nan
knapPI_1_100_100000.csv, Williamson Shmoy, Truncation, 1, 0.063181, 175272, 200, 0.000316, -nan
knapPI_1_100_100000.csv, Williamson Shmoy, Truncation, 2, 0.033076, 173528, 198, 0.000167, -nan
knapPI_1_100_100000.csv, Williamson Shmoy, Truncation, 3, 0.080426, 173528, 198, 0.000406, -nan
knapPI_1_200_1000.csv, Williamson Shmoy, Truncation, 1, 0.009591, 5016, 2, 0.004796, -nan
knapPI_1_200_1000.csv, Williamson Shmoy, Truncation, 2, 0.059083, 5016, 2, 0.029541, -nan
knapPI_1_200_1000.csv, Williamson Shmoy, Truncation, 3, 0.056486, 5016, 2, 0.028243, -nan
knapPI_1_200_10000.csv, Williamson Shmoy, Truncation, 1, 0.009821, 5016, 2, 0.004910, -nan
knapPI_1_200_10000.csv, Williamson Shmoy, Truncation, 2, 0.035827, 5016, 2, 0.017913, -nan
knapPI_1_200_10000.csv, Williamson Shmoy, Truncation, 3, 0.063929, 5016, 2, 0.031964, -nan
knapPI_1_200_100000.csv, Williamson Shmoy, Truncation, 1, 0.024097, 5016, 2, 0.012049, -nan
knapPI_1_200_100000.csv, Williamson Shmoy, Truncation, 2, 0.044356, 5016, 2, 0.022178, -nan
knapPI_1_200_100000.csv, Williamson Shmoy, Truncation, 3, 0.066187, 5016, 2, 0.033093, -nan
knapPI_2_50_1000.csv, Williamson Shmoy, Truncation, 1, 0.001835, 1416, 2, 0.000918, -nan
knapPI_2_50_1000.csv, Williamson Shmoy, Truncation, 2, 0.001077, 1416, 2, 0.000539, -nan
knapPI_2_50_1000.csv, Williamson Shmoy, Truncation, 3, 0.001137, 1416, 2, 0.000568, -nan
knapPI_2_50_10000.csv, Williamson Shmoy, Truncation, 1, 0.001032, 1416, 2, 0.000516, -nan
knapPI_2_50_10000.csv, Williamson Shmoy, Truncation, 2, 0.000717, 1416, 2, 0.000358, -nan
knapPI_2_50_10000.csv, Williamson Shmoy, Truncation, 3, 0.000997, 1416, 2, 0.000499, -nan
knapPI_2_50_100000.csv, Williamson Shmoy, Truncation, 1, 0.005858, 47672, 100, 0.000059, -nan
knapPI_2_50_100000.csv, Williamson Shmoy, Truncation, 2, 0.002055, 47672, 100, 0.000021, -nan
knapPI_2_50_100000.csv, Williamson Shmoy, Truncation, 3, 0.002746, 47672, 100, 0.000027, -nan
knapPI_2_100_1000.csv, Williamson Shmoy, Truncation, 1, 0.006797, 2616, 2, 0.003399, -nan
knapPI_2_100_1000.csv, Williamson Shmoy, Truncation, 2, 0.004991, 2616, 2, 0.002495, -nan
knapPI_2_100_1000.csv, Williamson Shmoy, Truncation, 3, 0.014584, 2616, 2, 0.007292, -nan
knapPI_2_100_10000.csv, Williamson Shmoy, Truncation, 1, 0.002836, 2616, 2, 0.001418, -nan
knapPI_2_100_10000.csv, Williamson Shmoy, Truncation, 2, 0.005411, 2616, 2, 0.002706, -nan
knapPI_2_100_10000.csv, Williamson Shmoy, Truncation, 3, 0.010765, 2616, 2, 0.005383, -nan
knapPI_2_100_100000.csv, Williamson Shmoy, Truncation, 1, 0.013756, 175272, 200, 0.000069, -nan
knapPI_2_100_100000.csv, Williamson Shmoy, Truncation, 2, 0.081407, 173528, 198, 0.000411, -nan
knapPI_2_100_100000.csv, Williamson Shmoy, Truncation, 3, 0.095211, 175272, 200, 0.000476, -nan
knapPI_2_200_1000.csv, Williamson Shmoy, Truncation, 1, 0.023573, 5016, 2, 0.011787, -nan
knapPI_2_200_1000.csv, Williamson Shmoy, Truncation, 2, 0.076522, 5016, 2, 0.038261, -nan
knapPI_2_200_1000.csv, Williamson Shmoy, Truncation, 3, 0.187725, 5016, 2, 0.093863, -nan
knapPI_2_200_10000.csv, Williamson Shmoy, Truncation, 1, 0.016897, 5016, 2, 0.008448, -nan
knapPI_2_200_10000.csv, Williamson Shmoy, Truncation, 2, 0.104218, 5016, 2, 0.052109, -nan
knapPI_2_200_10000.csv, Williamson Shmoy, Truncation, 3, 0.162271, 5016, 2, 0.081135, -nan
knapPI_2_200_100000.csv, Williamson Shmoy, Truncation, 1, 0.416435, 670472, 400, 0.001041, -nan
knapPI_2_200_100000.csv, Williamson Shmoy, Truncation, 2, 2.525339, 667128, 398, 0.006345, -nan
knapPI_2_200_100000.csv, Williamson Shmoy, Truncation, 3, 0.115902, 5016, 2, 0.057951, -nan
knapPI_3_50_1000.csv, Williamson Shmoy, Truncation, 1, 0.001102, 1416, 2, 0.000551, -nan
knapPI_3_50_1000.csv, Williamson Shmoy, Truncation, 2, 0.000543, 1416, 2, 0.000271, -nan
knapPI_3_50_1000.csv, Williamson Shmoy, Truncation, 3, 0.001170, 1416, 2, 0.000585, -nan
knapPI_3_50_10000.csv, Williamson Shmoy, Truncation, 1, 0.001884, 1416, 2, 0.000942, -nan
knapPI_3_50_10000.csv, Williamson Shmoy, Truncation, 2, 0.001652, 1416, 2, 0.000826, -nan
knapPI_3_50_10000.csv, Williamson Shmoy, Truncation, 3, 0.001475, 1416, 2, 0.000737, -nan
knapPI_3_50_100000.csv, Williamson Shmoy, Truncation, 1, 0.003845, 47672, 100, 0.000038, -nan
knapPI_3_50_100000.csv, Williamson Shmoy, Truncation, 2, 0.006416, 47672, 100, 0.000064, -nan
knapPI_3_50_100000.csv, Williamson Shmoy, Truncation, 3, 0.013580, 47672, 100, 0.000136, -nan
knapPI_3_100_1000.csv, Williamson Shmoy, Truncation, 1, 0.013667, 2616, 2, 0.006834, -nan
knapPI_3_100_1000.csv, Williamson Shmoy, Truncation, 2, 0.005810, 2616, 2, 0.002905, -nan
knapPI_3_100_1000.csv, Williamson Shmoy, Truncation, 3, 0.027505, 2616, 2, 0.013753, -nan
knapPI_3_100_10000.csv, Williamson Shmoy, Truncation, 1, 0.023247, 2616, 2, 0.011624, -nan
knapPI_3_100_10000.csv, Williamson Shmoy, Truncation, 2, 0.023968, 2616, 2, 0.011984, -nan
knapPI_3_100_10000.csv, Williamson Shmoy, Truncation, 3, 0.070809, 2616, 2, 0.035404, -nan
knapPI_3_100_100000.csv, Williamson Shmoy, Truncation, 1, 0.215059, 173528, 198, 0.001086, -nan
knapPI_3_100_100000.csv, Williamson Shmoy, Truncation, 2, 0.185016, 245032, 280, 0.000661, -nan
knapPI_3_100_100000.csv, Williamson Shmoy, Truncation, 3, 2.082600, 293864, 336, 0.006198, -nan
knapPI_3_200_1000.csv, Williamson Shmoy, Truncation, 1, 0.102560, 5016, 2, 0.051280, -nan
knapPI_3_200_1000.csv, Williamson Shmoy, Truncation, 2, 0.325053, 5016, 2, 0.162526, -nan
knapPI_3_200_1000.csv, Williamson Shmoy, Truncation, 3, 0.650563, 5016, 2, 0.325282, -nan
knapPI_3_200_10000.csv, Williamson Shmoy, Truncation, 1, 0.299696, 5016, 2, 0.149848, -nan
knapPI_3_200_10000.csv, Williamson Shmoy, Truncation, 2, 2.092587, 5016, 2, 1.046293, -nan
knapPI_3_200_10000.csv, Williamson Shmoy, Truncation, 3, 4.453411, 5016, 2, 2.226706, -nan
knapPI_3_200_100000.csv, Williamson Shmoy, Truncation, 1, 3.014103, 667128, 398, 0.007573, -nan
knapPI_3_200_100000.csv, Williamson Shmoy, Truncation, 2, 53.557976, 670472, 400, 0.133895, -nan
knapPI_3_200_100000.csv, Williamson Shmoy, Truncation, 3, 26.795844, 5016, 2, 13.397922, -nan
knapPI_4_50_1000.csv, Williamson Shmoy, Truncation, 1, 0.000526, 1416, 2, 0.000263, -nan
knapPI_4_50_1000.csv, Williamson Shmoy, Truncation, 2, 0.000332, 1416, 2, 0.000166, -nan
knapPI_4_50_1000.csv, Williamson Shmoy, Truncation, 3, 0.000471, 1416, 2, 0.000236, -nan
knapPI_4_50_10000.csv, Williamson Shmoy, Truncation, 1, 0.000543, 1416, 2, 0.000271, -nan
knapPI_4_50_10000.csv, Williamson Shmoy, Truncation, 2, 0.000418, 1416, 2, 0.000209, -nan
knapPI_4_50_10000.csv, Williamson Shmoy, Truncation, 3, 0.000418, 1416, 2, 0.000209, -nan
knapPI_4_50_100000.csv, Williamson Shmoy, Truncation, 1, 0.004558, 47672, 100, 0.000046, -nan
knapPI_4_50_100000.csv, Williamson Shmoy, Truncation, 2, 0.004899, 47672, 100, 0.000049, -nan
knapPI_4_50_100000.csv, Williamson Shmoy, Truncation, 3, 0.006083, 47672, 100, 0.000061, -nan
knapPI_4_100_1000.csv, Williamson Shmoy, Truncation, 1, 0.002639, 2616, 2, 0.001319, -nan
knapPI_4_100_1000.csv, Williamson Shmoy, Truncation, 2, 0.003145, 2616, 2, 0.001572, -nan
knapPI_4_100_1000.csv, Williamson Shmoy, Truncation, 3, 0.019896, 2616, 2, 0.009948, -nan
knapPI_4_100_10000.csv, Williamson Shmoy, Truncation, 1, 0.002384, 2616, 2, 0.001192, -nan
knapPI_4_100_10000.csv, Williamson Shmoy, Truncation, 2, 0.004662, 2616, 2, 0.002331, -nan
knapPI_4_100_10000.csv, Williamson Shmoy, Truncation, 3, 0.041698, 2616, 2, 0.020849, -nan
knapPI_4_100_100000.csv, Williamson Shmoy, Truncation, 1, 0.057736, 173528, 198, 0.000292, -nan
knapPI_4_100_100000.csv, Williamson Shmoy, Truncation, 2, 0.102588, 175272, 200, 0.000513, -nan
knapPI_4_100_100000.csv, Williamson Shmoy, Truncation, 3, 0.766653, 173528, 198, 0.003872, -nan
